algorithm,run,cvr_mean
Construction-Only,0,0.10217
Micro-Only,0,0.10217
Random-Destroy,0,0.09382
RA-LNS,0,0.04596
Construction-Only,1,0.1146
Micro-Only,1,0.1146
Random-Destroy,1,0.1098999999999999
RA-LNS,1,0.0595799999999999
Construction-Only,2,0.0163299999999999
Micro-Only,2,0.0163299999999999
Random-Destroy,2,0.01651
RA-LNS,2,-0.0141599999999999
Construction-Only,3,0.06568
Micro-Only,3,0.06567
Random-Destroy,3,0.06386
RA-LNS,3,0.022
Construction-Only,4,0.1955099999999999
Micro-Only,4,0.1955099999999999
Random-Destroy,4,0.18652
RA-LNS,4,0.12281
Construction-Only,5,0.09965
Micro-Only,5,0.09965
Random-Destroy,5,0.09515
RA-LNS,5,0.04997
Construction-Only,6,0.02568
Micro-Only,6,0.02568
Random-Destroy,6,0.02619
RA-LNS,6,-0.0068799999999999
Construction-Only,7,0.10488
Micro-Only,7,0.10488
Random-Destroy,7,0.0982799999999999
RA-LNS,7,0.05629
Construction-Only,8,0.06883
Micro-Only,8,0.06883
Random-Destroy,8,0.06576
RA-LNS,8,0.02351
Construction-Only,9,0.11676
Micro-Only,9,0.11666
Random-Destroy,9,0.10718
RA-LNS,9,0.0601499999999999
Construction-Only,10,0.18133
Micro-Only,10,0.18133
Random-Destroy,10,0.17272
RA-LNS,10,0.1156099999999999
Construction-Only,11,0.18642
Micro-Only,11,0.18642
Random-Destroy,11,0.17548
RA-LNS,11,0.1085899999999999
Construction-Only,12,0.0911
Micro-Only,12,0.0911
Random-Destroy,12,0.08432
RA-LNS,12,0.04364
Construction-Only,13,0.18259
Micro-Only,13,0.18259
Random-Destroy,13,0.16666
RA-LNS,13,0.0970599999999999
Construction-Only,14,0.15374
Micro-Only,14,0.15374
Random-Destroy,14,0.14598
RA-LNS,14,0.0885
Construction-Only,15,0.0209899999999999
Micro-Only,15,0.0209899999999999
Random-Destroy,15,0.02047
RA-LNS,15,0.0104199999999999
Construction-Only,16,0.10221
Micro-Only,16,0.10221
Random-Destroy,16,0.10017
RA-LNS,16,0.0358
Construction-Only,17,0.02932
Micro-Only,17,0.02932
Random-Destroy,17,0.03079
RA-LNS,17,0.0203
Construction-Only,18,0.0593799999999999
Micro-Only,18,0.0593799999999999
Random-Destroy,18,0.0573599999999999
RA-LNS,18,0.01877
Construction-Only,19,0.0153
Micro-Only,19,0.0153
Random-Destroy,19,0.01472
RA-LNS,19,0.01659
Construction-Only,20,0.0855
Micro-Only,20,0.0855
Random-Destroy,20,0.08348
RA-LNS,20,0.03819
Construction-Only,21,0.09825
Micro-Only,21,0.09825
Random-Destroy,21,0.0927099999999999
RA-LNS,21,0.04648
Construction-Only,22,0.1672899999999999
Micro-Only,22,0.1672899999999999
Random-Destroy,22,0.1578
RA-LNS,22,0.0670000000000001
Construction-Only,23,0.1512199999999999
Micro-Only,23,0.1512199999999999
Random-Destroy,23,0.13844
RA-LNS,23,0.0848
Construction-Only,24,0.13368
Micro-Only,24,0.13363
Random-Destroy,24,0.12825
RA-LNS,24,0.0767899999999999
Construction-Only,25,0.02068
Micro-Only,25,0.02068
Random-Destroy,25,0.0199999999999999
RA-LNS,25,0.0230099999999999
Construction-Only,26,0.18344
Micro-Only,26,0.18344
Random-Destroy,26,0.1669899999999999
RA-LNS,26,0.10564
Construction-Only,27,0.26371
Micro-Only,27,0.26371
Random-Destroy,27,0.2412
RA-LNS,27,0.06307
Construction-Only,28,0.14751
Micro-Only,28,0.14751
Random-Destroy,28,0.13652
RA-LNS,28,0.07565
Construction-Only,29,0.0438399999999999
Micro-Only,29,0.0438399999999999
Random-Destroy,29,0.04327
RA-LNS,29,0.0833
