rho,algorithm,run,cvr_mean
0.8,DG,0,0.01875
0.8,RG,0,0.006000000000000001
0.8,RA-LNS,0,0.00525
0.8,DG,1,0.017250000000000005
0.8,RG,1,0.007000000000000001
0.8,RA-LNS,1,0.00625
0.8,DG,2,0.0037500000000000007
0.8,RG,2,0.00025
0.8,RA-LNS,2,0.0005
0.85,DG,0,0.03475000000000001
0.85,RG,0,0.013250000000000001
0.85,RA-LNS,0,0.013000000000000001
0.85,DG,1,0.0335
0.85,RG,1,0.015250000000000003
0.85,RA-LNS,1,0.0195
0.85,DG,2,0.0095
0.85,RG,2,0.00075
0.85,RA-LNS,2,0.0032500000000000003
0.9,DG,0,0.06574999999999999
0.9,RG,0,0.029500000000000005
0.9,RA-LNS,0,0.03325
0.9,DG,1,0.07325
0.9,RG,1,0.035750000000000004
0.9,RA-LNS,1,0.044750000000000005
0.9,DG,2,0.017750000000000002
0.9,RG,2,0.00475
0.9,RA-LNS,2,0.00425
0.95,DG,0,0.10825
0.95,RG,0,0.05824999999999999
0.95,RA-LNS,0,0.074
0.95,DG,1,0.11950000000000001
0.95,RG,1,0.07275000000000001
0.95,RA-LNS,1,0.09425
0.95,DG,2,0.03425
0.95,RG,2,0.014250000000000002
0.95,RA-LNS,2,0.015000000000000003
0.98,DG,0,0.14425000000000004
0.98,RG,0,0.088
0.98,RA-LNS,0,0.11125
0.98,DG,1,0.17050000000000004
0.98,RG,1,0.10950000000000001
0.98,RA-LNS,1,0.1355
0.98,DG,2,0.04975
0.98,RG,2,0.024
0.98,RA-LNS,2,0.02375
